"Variable","Jurisdiction","Use","SubUse","Samples","Days","Average","Condition","Guideline","Unit","Comments","Date","URL","TableNumber"
"Fluoride","BC","Freshwater Life",NA,1,1,"mean","water hardness is less than 50 mg/L as CaCO3","<= 0.2","mg/L",NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Freshwater Life",NA,1,1,"mean","water hardness is greater than or equal to 50 mg/L as CaCO3","<= 0.3","mg/L",NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Marine Life",NA,1,1,"mean",NA,"<= 1.5","mg/L",NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Wildlife",NA,1,1,"mean",NA,"<= 1.5","mg/L",NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Wildlife",NA,5,30,"mean",NA,"<=1","mg/L",NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Livestock","dairy cows, breeding stock - long-lived animals",1,1,"mean",NA,"<= 1.5","mg/L",NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Livestock","dairy cows, breeding stock - long-lived animals",5,30,"mean",NA,"<= 1","mg/L",NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Livestock","high fluoride diets - mineral or bone meal feed additives",1,1,"mean",NA,"<= 2","mg/L",NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Livestock","high fluoride diets - mineral or bone meal feed additives",5,30,"mean",NA,"<= 1","mg/L",NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Livestock","normal diet",1,1,"mean",NA,"<= 4","mg/L",NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Livestock","normal diet",5,30,"mean",NA,"<= 2","mg/L",NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Irrigation",NA,1,1,"mean",NA,"<= 2","mg/L",NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Irrigation",NA,5,30,"mean",NA,"<= 1",NA,NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Industrial",NA,1,1,"mean",NA,"<= 1.5","mg/L",NA,2006-01-08,"bc_pdf","20"
"Fluoride","BC","Industrial",NA,5,30,"mean",NA,"<= 1","mg/L",NA,2006-01-08,"bc_pdf","20"
"Iron","BC","Freshwater Life",NA,1,1,"mean"," total iron","<= 1","mg/L",NA,2014-12-28,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/iron/iron_overview.pdf",NA
"Iron","BC","Freshwater Life",NA,1,1,"mean","dissolved iron","<= 0.35","mg/L",NA,2014-12-28,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/iron/iron_overview.pdf",NA
"Lead","BC","Drinking",NA,1,1,"mean",NA,"<= 50","ug/L",NA,2006-01-08,"bc_pdf","11"
"Lead","BC","Freshwater Life",NA,1,1,"mean","water hardness as CaCO3 less than or equal to 8 mg/L","<= 3","ug/L",NA,2006-01-08,"bc_pdf","11"
"Lead","BC","Freshwater Life",NA,1,1,"mean","water hardness as CaCO3 less than or equal to 8 mg/L","<= e(1.273 ln[hardness] - 1.460)","ug/L",NA,2006-01-08,"bc_pdf","11"
"Lead","BC","Freshwater Life",NA,5,30,"mean","water hardness as CaCO3 less than or equal to 8 mg/L","<= 3.31 + e(1.273 * ln [mean hardness] - 4.704)","ug/L",NA,2006-01-08,"bc_pdf","11"
"Lead","BC","Wildlife",NA,1,1,"mean",NA,"<= 100","ug/L",NA,2006-01-08,"bc_pdf","11"
"Lead","BC","Livestock",NA,1,1,"mean",NA,"<= 100","ug/L",NA,2006-01-08,"bc_pdf","11"
"Lead","BC","Marine Life",NA,1,1,"mean",NA,"<= 140","ug/L",NA,2006-01-08,"bc_pdf","11"
"Lead","BC","Marine Life",NA,5,30,"mean",NA,"<= 2","ug/L",NA,2006-01-08,"bc_pdf","11"
"Lead","BC","Marine Life",NA,5,30,"mean",NA,"<= 3","ug/L",NA,2006-01-08,"bc_pdf","11"
"Lead","BC","Irrigation",NA,1,1,"mean","neutral and alkaline fine-textured soils","<= 400","ug/L",NA,2006-01-08,"bc_pdf","11"
"Lead","BC","Irrigation",NA,1,1,"mean","all other soils","<= 200","ug/L",NA,2006-01-08,"bc_pdf","11"
"Lead","BC","Industrial",NA,1,1,"mean",NA,"<= 50 ","ug/L",NA,2006-01-08,"bc_pdf","11"
"Lead","BC","Recreation",NA,1,1,"mean",NA,"<= 50","ug/L",NA,2006-01-08,"bc_pdf","11"
"Manganese","BC","Freshwater Life",NA,1,1,"mean","Maximum at Specified CaCO3 Hardness 25mg/L","<=0.8","mg/L",NA,2006-01-08,"bc_pdf","37"
"Manganese","BC","Freshwater Life",NA,1,1,"mean","Maximum at Specified CaCO3 Hardness 50mg/L","<= 1.1","mg/L",NA,2006-01-08,"bc_pdf","37"
"Manganese","BC","Freshwater Life",NA,1,1,"mean","Maximum at Specified CaCO3 Hardness 100mg/L","<=1.6","mg/L",NA,2006-01-08,"bc_pdf","37"
"Manganese","BC","Freshwater Life",NA,1,1,"mean","Maximum at Specified CaCO3 Hardness 150mg/L","<=2.2","mg/L",NA,2006-01-08,"bc_pdf","37"
"Manganese","BC","Freshwater Life",NA,1,1,"mean","Maximum at Specified CaCO3 Hardness 300mg/L","<=3.8","mg/L",NA,2006-01-08,"bc_pdf","37"
"Manganese","BC","Freshwater Life",NA,5,30,"mean","30-Day Mean at Specified CaCO3 Hardness 25mg/L","<=0.7","mg/L",NA,2006-01-08,"bc_pdf","38"
"Manganese","BC","Freshwater Life",NA,5,30,"mean","31-Day Mean at Specified CaCO3 Hardness 50mg/L","<=0.8","mg/L",NA,2006-01-08,"bc_pdf","38"
"Manganese","BC","Freshwater Life",NA,5,30,"mean","32-Day Mean at Specified CaCO3 Hardness 100mg/L","<=1","mg/L",NA,2006-01-08,"bc_pdf","38"
"Manganese","BC","Freshwater Life",NA,5,30,"mean","33-Day Mean at Specified CaCO3 Hardness 150mg/L","<=1.3","mg/L",NA,2006-01-08,"bc_pdf","38"
"Manganese","BC","Freshwater Life",NA,5,30,"mean","34-Day Mean at Specified CaCO3 Hardness 300mg/L","<=1.9","mg/L",NA,2006-01-08,"bc_pdf","38"
"Mercury","BC","Drinking",NA,1,1,"mean",NA,"<= 1","ug/L",NA,2006-01-08,"bc_pdf","13"
"Mercury","BC","Freshwater Life",NA,1,1,"mean",NA,"<= 0.1","ug/L",NA,2006-01-08,"bc_pdf","13"
"Mercury","BC","Freshwater Life",NA,5,30,"mean",NA,"<= 0.02","ug/L",NA,2006-01-08,"bc_pdf","13"
"Mercury","BC","Marine Life",NA,1,1,"mean",NA,"<= 2","ug/L",NA,2006-01-08,"bc_pdf","13"
"Mercury","BC","Marine Life",NA,5,30,"mean",NA,"<= 0.02","ug/L",NA,2006-01-08,"bc_pdf","13"
"Mercury","BC","Wildlife",NA,1,1,"mean","% MeHg <= 0.5","<= 0.02","ug/L",NA,2006-01-08,"bc_pdf","13a"
"Mercury","BC","Wildlife",NA,1,1,"mean","% MeHg <= 1","<= 0.01","ug/L",NA,2006-01-08,"bc_pdf","13a"
"Mercury","BC","Wildlife",NA,1,1,"mean","% MeHg <= 2.5","<= 0.004","ug/L",NA,2006-01-08,"bc_pdf","13a"
"Mercury","BC","Wildlife",NA,1,1,"mean","% MeHg <= 5","<= 0.002","ug/L",NA,2006-01-08,"bc_pdf","13a"
"Mercury","BC","Livestock",NA,1,1,"mean",NA,"<= 3","ug/L",NA,2006-01-08,"bc_pdf","13"
"Mercury","BC","Irrigation",NA,1,1,"mean",NA,"<= 2","ug/L",NA,2006-01-08,"bc_pdf","13"
"Mercury","BC","Recreation",NA,1,1,"mean",NA,"<= 1","ug/L",NA,2006-01-08,"bc_pdf","13"
"Molybdenum","BC","Drinking",NA,1,1,"mean",NA,"<= 0.25","mg/L",NA,2006-01-08,"bc_pdf","39"
"Molybdenum","BC","Freshwater Life",NA,1,1,"mean",NA,"<= 2","mg/L",NA,2006-01-08,"bc_pdf","15"
"Molybdenum","BC","Freshwater Life",NA,5,30,"mean",NA,"<= 1","mg/L",NA,2006-01-08,"bc_pdf","15"
"Molybdenum","BC","Wildlife",NA,1,1,"mean",NA,"<= 0.05","mg/L",NA,2006-01-08,"bc_pdf","15"
"Molybdenum","BC","Livestock",NA,1,1,"mean","consuming forages not irrigated or if no molybdenum containing fertilizers are applied to grow feed consumed by livestock","<= 0.08","mg/L",NA,2006-01-08,"bc_pdf","15"
"Molybdenum","BC","Livestock",NA,1,1,"mean","all other cases","<= 0.05","mg/L",NA,2006-01-08,"bc_pdf","15"
"Molybdenum","BC","Irrigation",NA,1,1,"mean","Poorly Drained Soil
- Cu:Mo ratio is less than
2:1 in the irrigation water
- (forage crops)","<= 0.05","mg/L",NA,2006-01-08,"bc_pdf","15"
"Molybdenum","BC","Irrigation",NA,5,30,"mean","Poorly Drained Soil
- Cu:Mo ratio is less than
2:1 in the irrigation water
- (forage crops)","<= 0.01","mg/L",NA,2006-01-08,"bc_pdf","15"
"Molybdenum","BC","Irrigation",NA,1,1,"mean","- Poorly
Drained Soil
- Cu:Mo ratio is greater than
2:1 in the irrigation water
- (forage crops)","<= 0.05","mg/L",NA,2006-01-08,"bc_pdf","15"
"Molybdenum","BC","Irrigation",NA,5,30,"mean","- Poorly
Drained Soil
- Cu:Mo ratio is greater than
2:1 in the irrigation water
- (forage crops)","<= 0.02","mg/L",NA,2006-01-08,"bc_pdf","15"
"Molybdenum","BC","Irrigation",NA,1,1,"mean","- Well Drained Soil
(forage crops)","<= 0.05","mg/L",NA,2006-01-08,"bc_pdf","15"
"Molybdenum","BC","Irrigation",NA,5,30,"mean","- Well Drained Soil
(forage crops)","<= 0.02","mg/L",NA,2006-01-08,"bc_pdf","15"
"Molybdenum","BC","Irrigation",NA,5,30,"mean","- All Soils
(non-forage crops)","<= 0.03","mg/L",NA,2006-01-08,"bc_pdf","15"
"Nickel","BC","Freshwater Life",NA,1,1,"mean",NA,"<= e0.76*ln[hardness]+1.06 ?g/L","ug/L",NA,2014-12-31,"https://www.ec.gc.ca/indicateurs-indicators/default.asp?lang=en&n=3786D3FD-1",NA
"Nickel","BC","Marine Life",NA,1,1,"mean","one hour","<= 75","ug/L",NA,NA,NA,NA
"Nickel","BC","Marine Life",NA,1,1,"mean","four days","<= 8.3 ","ug/L",NA,2014-12-31,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/working.html",NA
"Nickel","BC","Livestock",NA,1,1,"maximum",NA,"<= 1000","ug/L",NA,2014-12-31,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/working.html",NA
"Nickel","BC","Irrigation",NA,1,1,"maximum","continuous use on all soils","<= 200","ug/L",NA,2014-12-31,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/working.html",NA
"Nickel","BC","Irrigation",NA,1,1,"maximum","20-year use on neutral to alkaline fine-textured soils","<= 2000","ug/L",NA,NA,NA,NA
"Nitrate","BC","Drinking",NA,1,1,"mean",NA,"<= 10","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrite","BC","Drinking",NA,1,1,"mean",NA,"<= 1","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrate","BC","Freshwater Life ",NA,1,1,"maximum",NA,"<= 200","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrite","BC","Freshwater Life ",NA,1,1,"maximum",NA,"<= 0.06","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrate","BC","Freshwater Life ",NA,1,1,"mean",NA,"<= 40","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrite","BC","Freshwater Life ",NA,1,1,"mean",NA,"<= 0.02","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrate","BC","Livestock",NA,1,1,"mean",NA,"<= 100","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrite","BC","Livestock",NA,1,1,"mean",NA,"<= 10","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrate","BC","Wildlife",NA,1,1,"mean",NA,"<= 100","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrite","BC","Wildlife",NA,1,1,"mean",NA,"<= 10","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrate","BC","Recreation",NA,1,1,"mean",NA,"<= 10","mg/L",NA,2006-01-08,"bc_pdf","16"
"Nitrite","BC","Recreation",NA,1,1,"mean",NA,"<= 1","mg/L",NA,2006-01-08,"bc_pdf","16"
"Selenium ","BC","Drinking Water ",NA,1,1,"mean",NA,"<= 10","µg/L",NA,2006-01-08,"bc_pdf","40"
"Selenium ","BC","Freshwater Life",NA,1,1,"mean",NA,"<= 2","µg/L",NA,2006-01-08,"bc_pdf","40"
"Selenium ","BC","Marine Life",NA,1,1,"mean",NA,"<= 2","µg/L",NA,2006-01-08,"bc_pdf","40"
"Selenium ","BC","Wildlife",NA,1,1,"mean",NA,"<= 4","µg/L",NA,2006-01-08,"bc_pdf","40"
"Selenium ","BC","Irrigation",NA,1,1,"mean",NA,"<= 10","µg/L",NA,2006-01-08,"bc_pdf","40"
"Selenium ","BC","Livestock",NA,1,1,"mean",NA,"<= 10","µg/L",NA,2006-01-08,"bc_pdf","40"
"Silver","BC","Freshwater Life",NA,5,30,"mean","hardness less than or equal to 100 mg/L ","<= 0.05","µg/L",NA,2006-01-08,"bc_pdf","29"
"Silver","BC","Freshwater Life",NA,1,1,"mean","hardness less than or equal to 100 mg/L ","<=0.1","µg/L",NA,2006-01-08,"bc_pdf","29"
"Silver","BC","Freshwater Life",NA,5,30,"mean","hardness greater than 100 mg/L ","<=1.5","µg/L",NA,2006-01-08,"bc_pdf","29"
"Silver","BC","Freshwater Life",NA,1,1,"mean","hardness greater than 100 mg/L ","<=3","µg/L",NA,2006-01-08,"bc_pdf","29"
"Silver","BC","Freshwater Life",NA,5,30,"mean","open coast and estuaries","<=1.5","µg/L",NA,2006-01-08,"bc_pdf","29"
"Sulfolane","BC","Freshwater Life",NA,1,1,"mean",NA,"<= 50","mg/L",NA,2014-12-29,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/sulfolane/sulfolane.htm",NA
"Sulfolane","BC","Irrigation",NA,1,1,"mean",NA,"<= 8.4","mg/L",NA,2014-12-29,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/sulfolane/sulfolane.htm",NA
"Sulfolane","BC","Livestock",NA,1,1,"mean",NA,"<= 14","mg/L",NA,2014-12-29,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/sulfolane/sulfolane.htm",NA
"Sulphate","BC","Drinking",NA,1,1,"mean",NA,"<= 500","mg/L",NA,2006-01-08,"bc_pdf","36"
"Sulphate","BC","Freshwater Life ",NA,1,1,"maximum",NA,"<= 100","mg/L",NA,2006-01-08,"bc_pdf","36"
"Sulphate","BC","Freshwater Life ",NA,1,1," alert level",NA,"<= 50","mg/L",NA,2006-01-08,"bc_pdf","36"
"pH","CA","Recreation",NA,1,1,"mean","water / PCBs #126","<= 35","pH","?",2014-12-21,"http://www.hc-sc.gc.ca/ewh-semt/pubs/water-eau/guide_water-2012-guide_eau/index-eng.php",NA
"Total Phosphorus","BC","Drinking",NA,1,1,"mean",NA,"<= 10","ug/L",NA,2006-01-08,"bc_pdf","3"
"Total Phosphorus","BC","Aquatic life ",NA,1,1,"mean",NA,"5 ~ 10","ug/L",NA,2006-01-08,"bc_pdf","3"
"Total Phosphorus","BC","Recreation",NA,1,1,"mean",NA,"<= 10","ug/L",NA,2006-01-08,"bc_pdf","3"
"Toluene","BC","Drinking",NA,1,1,"mean",NA,"<=0.024","mg/L",NA,2006-01-08,"bc_pdf","35"
"Toluene","BC","Freshwater Life",NA,1,1,"mean",NA,"<=0.039","mg/L",NA,2006-01-08,"bc_pdf","35"
"Toluene","BC","Marine Life",NA,1,1,"mean",NA,"<=0.33","mg/L",NA,2006-01-08,"bc_pdf","35"
"Toluene","BC","Livestock",NA,1,1,"mean",NA,"<=0.024","mg/L",NA,2006-01-08,"bc_pdf","35"
"Turbidity","CA","Recreation",NA,1,1,"mean",NA,">= 5.0 & <= 9.0","NTU",NA,2014-12-21,"http://www.hc-sc.gc.ca/ewh-semt/pubs/water-eau/guide_water-2012-guide_eau/index-eng.php",NA
"Zinc","BC","Drinking",NA,1,1,"mean",NA,"<= 5000","µg/L",NA,2006-01-08,"bc_pdf","30"
"Zinc","BC","Recreation",NA,1,1,"mean",NA,"<= 5000","µg/L",NA,2006-01-08,"bc_pdf","30"
"Zinc","BC","Marine Life",NA,1,1,"mean",NA,"<= 10","µg/L",NA,2006-01-08,"bc_pdf","33"
"Zinc","BC","Livestock",NA,1,1,"mean",NA,"<= 2000","µg/L",NA,2006-01-08,"bc_pdf","33"
"Zinc","BC","Irrigation",NA,1,1,"mean","soil pH less than 6 ","<= 1000","µg/L",NA,2006-01-08,"bc_pdf","33"
"Zinc","BC","Irrigation",NA,1,1,"mean","soil pH equal to or greater than 6 and less than 7 ","<= 2000","µg/L",NA,2006-01-08,"bc_pdf","33"
"Zinc","BC","Irrigation",NA,1,1,"mean","soil pH greater than or equal to 7 ","<= 5000","µg/L",NA,2006-01-08,"bc_pdf","33"
"Zinc","BC","Freshwater Life",NA,1,1,"mean",NA,"<= 33 + 0.75 x (hardness - 90) ","µg/L",NA,2006-01-08,"bc_pdf","33"
"Zinc","BC","Freshwater Life",NA,5,30,"mean",NA,"<= 7.5 + 0.75 x (hardness - 90) ","µg/L",NA,2006-01-08,"bc_pdf","33"
